player_id,handle,league,recent_match_result,latest_news,nationality,past_teams,current_region,previous_regions,clutch_factor,role_versatility,roles,acs,kd_ratio,assist_score,map_awareness,team_survival_trade_efficiency,adr,agent_specialization
106651762097869967,Nbs,vct-international,,"[{""title"": ""Cloud9, FNATIC, Team Vitality - News Almost Missed January 14"", ""time"": ""2023/01/14"", ""url"": ""https://www.vlr.gg/166722/cloud9-fnatic-team-vitality-news-almost-missed-january-14""}, {""title"": ""Roster Tracker: VCT EMEA"", ""time"": ""2022/10/22"", ""url"": ""https://www.vlr.gg/145463/roster-tracker-vct-emea""}, {""title"": ""Raise Your Edge lineup transfers to Acend"", ""time"": ""2021/03/10"", ""url"": ""https://www.vlr.gg/13184/raise-your-edge-lineup-transfers-to-acend""}, {""title"": ""RYE Gaming sign Don't Even Ask"", ""time"": ""2021/01/30"", ""url"": ""https://www.vlr.gg/8103/rye-gaming-sign-dont-even-ask""}, {""title"": ""nolpenki disband"", ""time"": ""2020/12/15"", ""url"": ""https://www.vlr.gg/7584/nolpenki-disband""}]",LITHUANIA,"[{""team_name"": ""Acend"", ""period"": ""March 2021 \u2013 September 2024""}, {""team_name"": ""Raise Your Edge"", ""period"": ""January 2021 \u2013 March 2021""}, {""team_name"": ""nolpenki"", ""period"": ""left in December 2020""}]",,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
106230373601204025,sScary,vct-international,"[{""date"": ""2024/07/081:00 am"", ""title"": ""VCT 24: PAC Stage 2Regular Season \u22c5W4"", ""url"": ""https://www.vlr.gg/314364/t1-vs-bleed-champions-tour-2024-pacific-stage-2-w4""}, {""date"": ""2024/06/304:15 am"", ""title"": ""VCT 24: PAC Stage 2Regular Season \u22c5W3"", ""url"": ""https://www.vlr.gg/314355/bleed-vs-gen-g-champions-tour-2024-pacific-stage-2-w3""}, {""date"": ""2024/06/231:00 am"", ""title"": ""VCT 24: PAC Stage 2Regular Season \u22c5W2"", ""url"": ""https://www.vlr.gg/314348/global-esports-vs-bleed-champions-tour-2024-pacific-stage-2-w2""}, {""date"": ""2024/06/153:40 am"", ""title"": ""VCT 24: PAC Stage 2Regular Season \u22c5W1"", ""url"": ""https://www.vlr.gg/314341/team-secret-vs-bleed-champions-tour-2024-pacific-stage-2-w1""}, {""date"": ""2024/04/291:00 am"", ""title"": ""VCT 24: PAC Stage 1Regular Season \u22c5W4"", ""url"": ""https://www.vlr.gg/314329/bleed-vs-drx-champions-tour-2024-pacific-stage-1-w4""}]","[{""title"": ""sScary and LEGIJA announce free agency"", ""time"": ""2024/10/04"", ""url"": ""https://www.vlr.gg/410513/sscary-and-legija-announce-free-agency""}, {""title"": ""BLEED sign sScary"", ""time"": ""2022/10/15"", ""url"": ""https://www.vlr.gg/152123/bleed-sign-sscary""}, {""title"": ""OpTic Gaming, FunPlus Phoenix, The Guard - News Almost Missed July 30"", ""time"": ""2022/07/30"", ""url"": ""https://www.vlr.gg/124045/optic-gaming-funplus-phoenix-the-guard-news-almost-missed-july-30""}]",THAILAND,"[{""team_name"": ""BLEED"", ""period"": ""October 2022 \u2013 October 2024""}, {""team_name"": ""XERXIA Esports"", ""period"": ""January 2022 \u2013 October 2022""}, {""team_name"": ""X10 Esports"", ""period"": ""December 2020 \u2013 January 2022""}, {""team_name"": ""Overtime Esports"", ""period"": ""left in December 2020""}]",SEA,"[""SEA"", ""INTL""]",0.0,4,"[""Duelist"", ""Initiator"", ""Sentinel"", ""Controller""]",291.0,1.66,0.635,0.17,0.84,190.0,"{""omen"": 2556, ""astra"": 2298, ""viper"": 2278, ""brimstone"": 1318, ""reyna"": 116, ""sage"": 95, ""jett"": 92, ""cypher"": 32, ""breach"": 22, ""harbor"": 19, ""sova"": 18}"
108058716084404104,KenzmPs,vct-international,"[{""date"": ""2024/06/2411:00 am"", ""title"": ""VCL 24 PT Tempest: Split 2Regular Season \u22c5R14"", ""url"": ""https://www.vlr.gg/352148/ftw-le-a-fc-esports-vs-saw-challengers-league-2024-portugal-tempest-split-2-regular-season-r14""}, {""date"": ""2024/06/2310:00 am"", ""title"": ""VCL 24 PT Tempest: Split 2Regular Season \u22c5R13"", ""url"": ""https://www.vlr.gg/352147/impulse-gw-vs-ftw-le-a-fc-esports-challengers-league-2024-portugal-tempest-split-2-regular-seaso""}, {""date"": ""2024/06/2210:15 am"", ""title"": ""VCL 24 PT Tempest: Split 2Regular Season \u22c5R12"", ""url"": ""https://www.vlr.gg/352143/ftw-le-a-fc-esports-vs-fuzos-challengers-league-2024-portugal-tempest-split-2-regular-season-r12""}, {""date"": ""2024/06/1711:00 am"", ""title"": ""VCL 24 PT Tempest: Split 2Regular Season \u22c5R11"", ""url"": ""https://www.vlr.gg/352136/ftw-le-a-fc-esports-vs-hurricane-of-feathers-challengers-league-2024-portugal-tempest-split-2-re""}, {""date"": ""2024/06/168:00 am"", ""title"": ""VCL 24 PT Tempest: Split 2Regular Season \u22c5R10"", ""url"": ""https://www.vlr.gg/352130/ppp-vs-ftw-le-a-fc-esports-challengers-league-2024-portugal-tempest-split-2-regular-season-r10""}]","[{""title"": ""Team Vitality, Keyd Stars, Version1 - News Almost Missed June 10"", ""time"": ""2022/06/09"", ""url"": ""https://www.vlr.gg/106853/team-vitality-keyd-stars-version1-news-almost-missed-june-10""}, {""title"": ""TENSTAR, Futbolist, Team Liquid - News Almost Missed June 3"", ""time"": ""2022/06/03"", ""url"": ""https://www.vlr.gg/105189/tenstar-futbolist-team-liquid-news-almost-missed-june-3""}, {""title"": ""MIBR, F4Q, FunPlus Phoenix - News Almost Missed April 1"", ""time"": ""2022/04/01"", ""url"": ""https://www.vlr.gg/84043/mibr-f4q-funplus-phoenix-news-almost-missed-april-1""}]",PORTUGAL,"[{""team_name"": ""AROS"", ""period"": """"}, {""team_name"": ""VIKINGS Fourteen"", ""period"": ""January 2023 \u2013 April 2023""}, {""team_name"": ""Old Times"", ""period"": """"}, {""team_name"": ""Team Vikings"", ""period"": ""March 2022 \u2013 June 2022""}, {""team_name"": ""FTW Esports"", ""period"": ""November 2020 \u2013 November 2021""}]",EMEA,"[""EMEA""]",0.0,3,"[""Initiator"", ""Sentinel"", ""Controller""]",210.5,1.65,0.65,0.08,0.77,129.8,"{""breach"": 2366, ""sova"": 993, ""skye"": 800, ""omen"": 318, ""sage"": 263, ""fade"": 221, ""harbor"": 167, ""kayo"": 57, ""gekko"": 57, ""killjoy"": 37, ""astra"": 37, ""viper"": 24}"
107760828878086033,Fluky,vct-international,"[{""date"": ""2024/07/034:00 am"", ""title"": ""VCL 24 TH: Split 2Group Stage \u22c5W5"", ""url"": ""https://www.vlr.gg/354075/barn-nong-chok-vs-sharper-esport-soop-challengers-league-2024-thailand-split-2-w5""}, {""date"": ""2024/06/284:00 am"", ""title"": ""VCL 24 TH: Split 2Group Stage \u22c5W4"", ""url"": ""https://www.vlr.gg/354073/barn-nong-chok-vs-team-nkt-soop-challengers-league-2024-thailand-split-2-w4""}, {""date"": ""2024/06/264:00 am"", ""title"": ""VCL 24 TH: Split 2Group Stage \u22c5W4"", ""url"": ""https://www.vlr.gg/354069/full-sense-vs-barn-nong-chok-soop-challengers-league-2024-thailand-split-2-w4""}, {""date"": ""2024/06/204:00 am"", ""title"": ""VCL 24 TH: Split 2Group Stage \u22c5W3"", ""url"": ""https://www.vlr.gg/354065/xoxo-01-vs-barn-nong-chok-soop-challengers-league-2024-thailand-split-2-w3""}, {""date"": ""2024/06/145:40 am"", ""title"": ""VCL 24 TH: Split 2Group Stage \u22c5W2"", ""url"": ""https://www.vlr.gg/354061/barn-nong-chok-vs-santa-gang-soop-challengers-league-2024-thailand-split-2-w2""}]","[{""title"": ""Evil Geniuses, SuperMassive, FULL SENSE - News Almost Missed Dec. 31"", ""time"": ""2023/01/01"", ""url"": ""https://www.vlr.gg/163779/evil-geniuses-supermassive-full-sense-news-almost-missed-dec-31""}]",THAILAND,"[{""team_name"": ""TheKak"", ""period"": """"}, {""team_name"": ""FULL SENSE"", ""period"": ""December 2022 \u2013 August 2023""}, {""team_name"": ""47 Gaming"", ""period"": """"}, {""team_name"": ""X10 Esports"", ""period"": ""January 2022 \u2013 June 2023""}, {""team_name"": ""winnable"", ""period"": """"}]",,,0.0,4,"[""Duelist"", ""Initiator"", ""Sentinel"", ""Controller""]",300.0,1.55,0.69,0.24,0.91,206.1,"{""sova"": 639, ""omen"": 508, ""raze"": 429, ""fade"": 308, ""jett"": 241, ""astra"": 209, ""viper"": 64, ""chamber"": 42, ""sage"": 41, ""killjoy"": 22, ""brimstone"": 19, ""reyna"": 18}"
106652155439574920,nAts,vct-international,"[{""date"": ""2024/07/1012:20 pm"", ""title"": ""VCT 24: EMEA Stage 2Regular Season \u22c5W4"", ""url"": ""https://www.vlr.gg/353174/fnatic-vs-team-liquid-champions-tour-2024-emea-stage-2-w4""}, {""date"": ""2024/07/0411:05 am"", ""title"": ""VCT 24: EMEA Stage 2Regular Season \u22c5W3"", ""url"": ""https://www.vlr.gg/353169/team-liquid-vs-karmine-corp-champions-tour-2024-emea-stage-2-w3""}, {""date"": ""2024/06/279:00 am"", ""title"": ""VCT 24: EMEA Stage 2Regular Season \u22c5W2"", ""url"": ""https://www.vlr.gg/353162/bbl-esports-vs-team-liquid-champions-tour-2024-emea-stage-2-w2""}, {""date"": ""2024/06/2012:10 pm"", ""title"": ""VCT 24: EMEA Stage 2Regular Season \u22c5W1"", ""url"": ""https://www.vlr.gg/353156/team-vitality-vs-team-liquid-champions-tour-2024-emea-stage-2-w1""}, {""date"": ""2024/05/088:00 am"", ""title"": ""VCT 24: EMEA Stage 1Playoffs \u22c5Knockout"", ""url"": ""https://www.vlr.gg/341816/fnatic-vs-team-liquid-champions-tour-2024-emea-stage-1-knockout""}]","[{""title"": ""Team Liquid and NAVI out of Masters Shanghai contention"", ""time"": ""2024/05/08"", ""url"": ""https://www.vlr.gg/345053/team-liquid-and-navi-out-of-masters-shanghai-contention""}, {""title"": ""Team Liquid complete roster with Apeks core"", ""time"": ""2023/11/04"", ""url"": ""https://www.vlr.gg/284329/team-liquid-complete-roster-with-apeks-core""}, {""title"": ""Team Liquid overhaul roster with M3C duo and Sayf"", ""time"": ""2022/11/11"", ""url"": ""https://www.vlr.gg/156764/team-liquid-overhaul-roster-with-m3c-duo-and-sayf""}, {""title"": ""Sentinels, DRX GC, Team Liquid - News Almost Missed Oct. 8"", ""time"": ""2022/10/09"", ""url"": ""https://www.vlr.gg/148659/sentinels-drx-gc-team-liquid-news-almost-missed-oct-8""}, {""title"": ""nAts departs M3 Champions"", ""time"": ""2022/08/22"", ""url"": ""https://www.vlr.gg/131580/nats-departs-m3-champions""}, {""title"": ""ex-Gambit roster enters free agency"", ""time"": ""2022/08/06"", ""url"": ""https://www.vlr.gg/125835/ex-gambit-roster-enters-free-agency""}, {""title"": ""Gambit Esports players to compete as M3 Champions"", ""time"": ""2022/03/14"", ""url"": ""https://www.vlr.gg/77957/gambit-esports-players-to-compete-as-m3-champions""}, {""title"": ""Gambit announce roster"", ""time"": ""2020/09/28"", ""url"": ""https://www.vlr.gg/3238/gambit-announce-roster""}, {""title"": ""FishkaVTom disband"", ""time"": ""2020/09/13"", ""url"": ""https://www.vlr.gg/2680/fishkavtom-disband""}]",RUSSIA,"[{""team_name"": ""M3 Champions"", ""period"": ""March 2022 \u2013 August 2022""}, {""team_name"": ""Gambit Esports"", ""period"": ""September 2020 \u2013 March 2022""}, {""team_name"": ""FishkaVTom"", ""period"": ""May 2020 \u2013 September 2020""}]",INTL,"[""INTL""]",0.0,4,"[""Duelist"", ""Initiator"", ""Sentinel"", ""Controller""]",374.0,2.27,0.645,0.19,0.88,240.8,"{""cypher"": 4950, ""viper"": 2277, ""killjoy"": 663, ""astra"": 273, ""chamber"": 128, ""kayo"": 107, ""sage"": 97, ""omen"": 84, ""jett"": 25, ""fade"": 21}"
109980786313527492,Mikes,vct-international,"[{""date"": ""2023/04/233:00 pm"", ""title"": ""Rise: LANOpen Qualifier \u22c5Quarterfinals"", ""url"": ""https://www.vlr.gg/207431/nyx-esports-vs-koa-esports-valorant-rise-latin-america-north-quarterfinals""}, {""date"": ""2023/04/223:10 pm"", ""title"": ""Rise: LANOpen Qualifier \u22c5Ro16"", ""url"": ""https://www.vlr.gg/207425/rising-star-vs-nyx-esports-valorant-rise-latin-america-north-ro16""}, {""date"": ""2023/01/221:00 pm"", ""title"": ""VCL LAN ACE: Split 1Open Qualifier \u22c5Ro16"", ""url"": ""https://www.vlr.gg/168406/snowy-owls-vs-chivas-esports-challengers-league-latam-north-ace-split-1-ro16""}, {""date"": ""2023/01/214:00 pm"", ""title"": ""VCL LAN ACE: Split 1Open Qualifier \u22c5Ro32"", ""url"": ""https://www.vlr.gg/168397/snowy-owls-vs-tls-gaming-challengers-league-latam-north-ace-split-1-ro32""}, {""date"": ""2021/07/162:00 pm"", ""title"": ""VCT LATAM S3: Challengers 2Open Qualifier: LAN \u22c5QF"", ""url"": ""https://www.vlr.gg/27020/no-limit-latam-vs-funkboings-champions-tour-latam-stage-3-challengers-2-qf""}]",,INTERNATIONAL,"[{""team_name"": ""DisplaceZ"", ""period"": """"}, {""team_name"": ""No Limit Latam"", ""period"": """"}]",,,0.0,3,"[""Initiator"", ""Sentinel"", ""Controller""]",277.5,1.5,0.665,0.09,0.83,168.1,"{""breach"": 74, ""astra"": 40, ""sage"": 38, ""skye"": 34, ""brimstone"": 23, ""kayo"": 15}"
110074369810493916,ethos,vct-international,"[{""date"": ""2024/07/093:00 pm"", ""title"": ""Funhaver x ROKPlayoffs \u22c5Ro32"", ""url"": ""https://www.vlr.gg/371972/rose-vs-trolls-kittens-funhaver-x-rok-run-it-back-playoffs-ro32""}, {""date"": ""2024/07/085:00 pm"", ""title"": ""Funhaver x ROKGroups \u22c5Winner's (K)"", ""url"": ""https://www.vlr.gg/371715/prospects-vs-rose-funhaver-x-rok-run-it-back-groups-winners-k""}, {""date"": ""2024/07/083:00 pm"", ""title"": ""Funhaver x ROKGroups \u22c5Opening (K)"", ""url"": ""https://www.vlr.gg/371713/rose-vs-oc-eagles-funhaver-x-rok-run-it-back-groups-opening-k""}, {""date"": ""2023/12/1012:00 pm"", ""title"": ""Funhaver Invitational LANPlayoffs \u22c5SF"", ""url"": ""https://www.vlr.gg/291232/friendstolovers-vs-krispykreme-the-funhaver-invitational-lan-playoffs-sf""}, {""date"": ""2023/12/1010:00 am"", ""title"": ""Funhaver Invitational LANPlayoffs \u22c5QF"", ""url"": ""https://www.vlr.gg/291228/asians-and-stellar-vs-friendstolovers-the-funhaver-invitational-lan-playoffs-qf""}]","[{""title"": ""NRG Esports, B8 Esports, X10 Esports - News Almost Missed April 08"", ""time"": ""2023/04/09"", ""url"": ""https://www.vlr.gg/195217/nrg-esports-b8-esports-x10-esports-news-almost-missed-april-08""}]",UNITED STATES,"[{""team_name"": ""Las Vegas Inferno"", ""period"": """"}, {""team_name"": ""NRG Esports"", ""period"": ""March 2023 \u2013 September 2023""}, {""team_name"": ""Team ethos"", ""period"": """"}, {""team_name"": ""Skwirel Warriers"", ""period"": ""April 2022 \u2013 February 2023""}, {""team_name"": ""We Can"", ""period"": ""February 2022 \u2013 April 2022""}, {""team_name"": ""FLICKBAITERS"", ""period"": ""July 2021 \u2013 November 2021""}, {""team_name"": ""Techno Monks"", ""period"": ""left in January 2021""}, {""team_name"": ""Phantom Troupe"", ""period"": ""left in December 2020""}]",,,0.0,4,"[""Duelist"", ""Initiator"", ""Sentinel"", ""Controller""]",243.0,2.5,0.7849999999999999,0.15,0.94,154.3,"{""sova"": 2071, ""jett"": 1069, ""killjoy"": 1031, ""reyna"": 774, ""yoru"": 455, ""skye"": 356, ""sage"": 310, ""omen"": 219, ""raze"": 221, ""breach"": 202, ""brimstone"": 165, ""chamber"": 145, ""cypher"": 141, ""viper"": 68, ""kayo"": 64, ""fade"": 24, ""gekko"": 18, ""astra"": 16}"
106535376300475294,k1NgKR,vct-international,,,,,INTL,"[""INTL""]",0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
107691410505927202,eMIL,vct-international,,"[{""title"": ""Team Liquid parts with head coach eMIL"", ""time"": ""2024/09/11"", ""url"": ""https://www.vlr.gg/402789/team-liquid-parts-with-head-coach-emil""}, {""title"": ""Team Liquid complete roster with Apeks core"", ""time"": ""2023/11/04"", ""url"": ""https://www.vlr.gg/284329/team-liquid-complete-roster-with-apeks-core""}, {""title"": ""Team Liquid overhaul roster with M3C duo and Sayf"", ""time"": ""2022/11/11"", ""url"": ""https://www.vlr.gg/156764/team-liquid-overhaul-roster-with-m3c-duo-and-sayf""}, {""title"": ""Liquid complete LCQ roster with dimasick and eMIL"", ""time"": ""2022/08/05"", ""url"": ""https://www.vlr.gg/125503/liquid-complete-lcq-roster-with-dimasick-and-emil""}, {""title"": ""OpTic Gaming, FunPlus Phoenix, The Guard - News Almost Missed July 30"", ""time"": ""2022/07/30"", ""url"": ""https://www.vlr.gg/124045/optic-gaming-funplus-phoenix-the-guard-news-almost-missed-july-30""}, {""title"": ""NIP disbands European roster, plans move to LATAM"", ""time"": ""2021/11/02"", ""url"": ""https://www.vlr.gg/49076/nip-disbands-european-roster-plans-move-to-latam""}, {""title"": ""eMIL joins NiP as coach"", ""time"": ""2020/09/11"", ""url"": ""https://www.vlr.gg/2562/emil-joins-nip-as-coach""}, {""title"": ""eMIL joins bonk"", ""time"": ""2020/08/02"", ""url"": ""https://www.vlr.gg/1555/emil-joins-bonk""}, {""title"": ""FABRIKEN undergo major changes as players pursue offers"", ""time"": ""2020/07/25"", ""url"": ""https://www.vlr.gg/1384/fabriken-undergo-major-changes-as-players-pursue-offers""}]",SWEDEN,"[{""team_name"": ""Team Liquid"", ""period"": ""August 2022 \u2013 September 2024""}, {""team_name"": ""Guild GC"", ""period"": ""January 2022 \u2013 July 2022""}, {""team_name"": ""Ninjas in Pyjamas"", ""period"": ""September 2020 \u2013 October 2021""}, {""team_name"": ""bonk"", ""period"": ""August 2020 \u2013 September 2020""}, {""team_name"": ""FABRIKEN"", ""period"": ""April 2020 \u2013 August 2020""}]",,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
107742456385056460,cauanzin,vct-international,"[{""date"": ""2024/07/142:00 pm"", ""title"": ""VCT 24: AMER Stage 2Regular Season \u22c5W4"", ""url"": ""https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4""}, {""date"": ""2024/07/065:35 pm"", ""title"": ""VCT 24: AMER Stage 2Regular Season \u22c5W3"", ""url"": ""https://www.vlr.gg/353193/loud-vs-leviat-n-champions-tour-2024-americas-stage-2-w3""}, {""date"": ""2024/07/024:15 pm"", ""title"": ""VCT 24: AMER Stage 2Regular Season \u22c5W2"", ""url"": ""https://www.vlr.gg/353189/loud-vs-furia-champions-tour-2024-americas-stage-2-w2""}, {""date"": ""2024/06/302:00 pm"", ""title"": ""VCT 24: AMER Stage 2Regular Season \u22c5W2"", ""url"": ""https://www.vlr.gg/353184/loud-vs-mibr-champions-tour-2024-americas-stage-2-w2""}, {""date"": ""2024/06/234:45 pm"", ""title"": ""VCT 24: AMER Stage 2Regular Season \u22c5W1"", ""url"": ""https://www.vlr.gg/353180/loud-vs-evil-geniuses-champions-tour-2024-americas-stage-2-w1""}]","[{""title"": ""LOUD pick up cauanzin, tuyz"", ""time"": ""2022/11/10"", ""url"": ""https://www.vlr.gg/156703/loud-pick-up-cauanzin-tuyz""}, {""title"": ""Ninjas in Pyjamas announce Brazilian roster"", ""time"": ""2022/01/16"", ""url"": ""https://www.vlr.gg/64177/ninjas-in-pyjamas-announce-brazilian-roster""}]",BRAZIL,"[{""team_name"": ""Ninjas In Pyjamas"", ""period"": ""January 2022 \u2013 October 2022""}, {""team_name"": ""Tropinha do TIKTOK"", ""period"": """"}, {""team_name"": ""S\u00f3 Deus Sabe"", ""period"": """"}, {""team_name"": ""EU+4"", ""period"": """"}]",INTL,"[""INTL""]",0.0,3,"[""Duelist"", ""Initiator"", ""Sentinel""]",360.0,1.44,0.605,0.27,0.8,226.3,"{""sova"": 1668, ""skye"": 1303, ""breach"": 636, ""kayo"": 433, ""fade"": 334, ""sage"": 227, ""reyna"": 71}"
108695547619985069,Life2,vct-international,,,,,CN,"[""INTL"", ""CN""]",0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
109698652930041253,sand3,vct-international,,,,,,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
112436083899481498,JohnLobster,vct-international,,,,,,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
110106597376978812,PAL,vct-international,"[{""date"": ""2023/04/221:40 pm"", ""title"": ""VCL FR Revolution: Split 2Regular Season \u22c5W3"", ""url"": ""https://www.vlr.gg/194148/zerance-vs-wylde-challengers-league-france-revolution-split-2-w3""}, {""date"": ""2022/10/3112:00 pm"", ""title"": ""SEL - S5Playoffs \u22c5SF"", ""url"": ""https://www.vlr.gg/155216/gregorys-angels-2-0-vs-gladiskal-scottish-esports-league-season-5-playoffs-sf""}, {""date"": ""2022/10/292:00 am"", ""title"": ""VRC NE - EPIC.LAN #37 S2Playoffs \u22c5LR1"", ""url"": ""https://www.vlr.gg/154954/emasters-vs-saints-esports-epic-lan-37-beacon-split-2-playoffs-lr1""}, {""date"": ""2022/10/2410:00 am"", ""title"": ""SEL - S5Playoffs \u22c5QF"", ""url"": ""https://www.vlr.gg/155213/gregorys-angels-2-0-vs-breaking-bznz-scottish-esports-league-season-5-playoffs-qf""}]",,SCOTLAND,"[{""team_name"": ""Team Vitality"", ""period"": ""August 2024 \u2013 August 2024""}, {""team_name"": ""Team United Kingdom"", ""period"": """"}, {""team_name"": ""FOKUS"", ""period"": ""October 2023 \u2013 July 2024""}, {""team_name"": ""WYLDE"", ""period"": ""April 2023 \u2013 October 2023""}, {""team_name"": ""Fire Flux Esports"", ""period"": ""January 2023 \u2013 April 2023""}, {""team_name"": ""eMasters"", ""period"": ""November 2022 \u2013 January 2023""}, {""team_name"": ""EverSoWavyGang"", ""period"": ""left in November 2022""}, {""team_name"": ""Saints eSports"", ""period"": """"}, {""team_name"": ""Skelp NYX"", ""period"": """"}]",,,0.0,3,"[""Duelist"", ""Initiator"", ""Controller""]",176.0,0.92,0.565,0.06,0.77,111.8,"{""astra"": 60, ""jett"": 24, ""kayo"": 22, ""breach"": 22, ""omen"": 18}"
106651882479572191,SALAH,vct-international,,"[{""title"": ""Vitality bench Salah, promote Gorilla to head coach"", ""time"": ""2024/05/23"", ""url"": ""https://www.vlr.gg/351538/vitality-bench-salah-promote-gorilla-to-head-coach""}, {""title"": ""Team Vitality add salah"", ""time"": ""2022/10/10"", ""url"": ""https://www.vlr.gg/151196/team-vitality-add-salah""}, {""title"": ""Sentinels, OG LDN UTD, On Sla2ers - News Almost Missed July 15"", ""time"": ""2022/07/15"", ""url"": ""https://www.vlr.gg/117560/sentinels-og-ldn-utd-on-sla2ers-news-almost-missed-july-15""}, {""title"": ""NIP, PENTA, MIBR - News Almost Missed April 29"", ""time"": ""2022/04/29"", ""url"": ""https://www.vlr.gg/95436/nip-penta-mibr-news-almost-missed-april-29""}, {""title"": ""Tundra sign Yonk"", ""time"": ""2022/02/14"", ""url"": ""https://www.vlr.gg/71330/tundra-sign-yonk""}, {""title"": ""Immortals, World Game Star, Vitality - News Almost Missed September 10"", ""time"": ""2021/09/10"", ""url"": ""https://www.vlr.gg/36420/immortals-world-game-star-vitality-news-almost-missed-september-10""}, {""title"": ""HONK disband, players open to offers"", ""time"": ""2021/06/04"", ""url"": ""https://www.vlr.gg/21244/honk-disband-players-open-to-offers""}]",UNITED KINGDOM,"[{""team_name"": ""OG LDN UTD"", ""period"": ""July 2022 \u2013 October 2022""}, {""team_name"": ""Akrew"", ""period"": ""April 2022 \u2013 July 2022""}, {""team_name"": ""Tundra Esports"", ""period"": ""February 2022 \u2013 March 2022""}, {""team_name"": ""YONK"", ""period"": ""left in February 2022""}, {""team_name"": ""Fire Flux Esports"", ""period"": ""June 2021 \u2013 September 2021""}, {""team_name"": ""HONK"", ""period"": ""January 2021 \u2013 May 2021""}, {""team_name"": ""FaZe Clan"", ""period"": ""September 2020 \u2013 October 2020""}, {""team_name"": ""bonk"", ""period"": ""left in August 2020""}]",,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
106724982885578442,inter1,vct-international,,,,,,,0.0,0,[],0.0,0.0,0.0,0.0,0.0,0.0,{}
106651771010372760,ANGE1,vct-international,"[{""date"": ""2024/07/159:00 am"", ""title"": ""VCT 24: EMEA Stage 2Playoffs \u22c5KO"", ""url"": ""https://www.vlr.gg/371278/team-vitality-vs-natus-vincere-champions-tour-2024-emea-stage-2-ko""}, {""date"": ""2024/07/119:00 am"", ""title"": ""VCT 24: EMEA Stage 2Regular Season \u22c5W4"", ""url"": ""https://www.vlr.gg/353175/natus-vincere-vs-gentle-mates-champions-tour-2024-emea-stage-2-w4""}, {""date"": ""2024/07/049:00 am"", ""title"": ""VCT 24: EMEA Stage 2Regular Season \u22c5W3"", ""url"": ""https://www.vlr.gg/353168/koi-vs-natus-vincere-champions-tour-2024-emea-stage-2-w3""}, {""date"": ""2024/06/2711:00 am"", ""title"": ""VCT 24: EMEA Stage 2Regular Season \u22c5W2"", ""url"": ""https://www.vlr.gg/353163/natus-vincere-vs-giantx-champions-tour-2024-emea-stage-2-w2""}, {""date"": ""2024/06/2110:50 am"", ""title"": ""VCT 24: EMEA Stage 2Regular Season \u22c5W1"", ""url"": ""https://www.vlr.gg/353158/natus-vincere-vs-fut-esports-champions-tour-2024-emea-stage-2-w1""}]","[{""title"": ""NAVI acquire FunPlus Phoenix roster, cNed"", ""time"": ""2022/11/08"", ""url"": ""https://www.vlr.gg/156001/navi-acquire-funplus-phoenix-roster-cned""}, {""title"": ""NORTHEPTION, Leviat\u00e1n, Misfits Black - News Almost Missed July 1"", ""time"": ""2022/06/30"", ""url"": ""https://www.vlr.gg/112171/northeption-leviat-n-misfits-black-news-almost-missed-july-1""}, {""title"": ""ZyppanGoKill officially FunPlus PhoeniX"", ""time"": ""2020/08/11"", ""url"": ""https://www.vlr.gg/1765/zyppangokill-officially-funplus-phoenix""}, {""title"": ""Report: FunPlus Phoenix to sign former FABRIKEN and PartyParrots players"", ""time"": ""2020/08/02"", ""url"": ""https://www.vlr.gg/1549/report-funplus-phoenix-to-sign-former-fabriken-and-partyparrots-players""}, {""title"": ""PartyParrots bow out"", ""time"": ""2020/07/21"", ""url"": ""https://www.vlr.gg/1302/partyparrots-bow-out""}]",UKRAINE,"[{""team_name"": ""Team CIS"", ""period"": """"}, {""team_name"": ""FunPlus Phoenix"", ""period"": ""August 2020 \u2013 November 2022""}, {""team_name"": ""PartyParrots"", ""period"": ""May 2020 \u2013 July 2020""}, {""team_name"": ""reserv"", ""period"": ""left in May 2020""}]",INTL,"[""INTL""]",0.0,4,"[""Duelist"", ""Initiator"", ""Sentinel"", ""Controller""]",271.0,1.56,0.59,0.27,0.82,182.0,"{""omen"": 3379, ""brimstone"": 2038, ""viper"": 957, ""sova"": 576, ""fade"": 415, ""cypher"": 290, ""astra"": 205, ""kayo"": 247, ""breach"": 219, ""gekko"": 213, ""phoenix"": 168, ""yoru"": 151, ""jett"": 85, ""reyna"": 75, ""killjoy"": 59, ""sage"": 43, ""skye"": 37, ""harbor"": 22, ""raze"": 19}"
